Order_ID,Product_ID,Product_Name,Category,Supplier,Warehouse,Country,Region,Customer,Order_Date,Shipment_Date,Delivery_Date,Quantity,Unit_Price,Cost,Revenue,Profit,Shipping_Cost,Transportation_Mode,Inventory_Level,Reorder_Point,Lead_Time,Demand,Sales,Discount,Order_Status,Delay_Days,Returned,Customer_Rating,Season,Month,Year
ORD100011,P1010,Running Shoes,Apparel,Supplier_Meridian,Warehouse_North_02,Germany,Europe,CUST006165,2022-01-01 07:36:36,2022-01-02 07:36:36,2022-01-08 07:36:36,176,264.78,35420.0,46601.28,11122.31,58.97,Sea,1151,786,2.0,242,63024.2,0.0,Delivered,4,No,4.2,Winter,1,2022
ORD100012,P1023,LED Lamp,Home & Kitchen,Supplier_Alpha,Warehouse_Central_02,Australia,Oceania,CUST000334,2022-01-01 07:41:23,2022-01-04 07:41:23,2022-01-10 07:41:23,125,532.16,36705.0,66520.0,29763.24,51.76,Road,4880,641,6.0,183,106895.08,0.0,Delivered,0,No,3.9,Winter,1,2022
ORD100013,P1052,Tyre Inflator,Automotive,Supplier_Zenith,Warehouse_West_01,Canada,North America,CUST009191,2022-01-01 08:29:04,2022-01-04 08:29:04,2022-01-21 08:29:04,116,654.39,49806.92,72113.78,22213.55,93.31,Road,1705,432,17.0,170,110858.99,0.05,Delivered,0,No,4.7,Winter,1,2022
ORD100014,P1035,Green Tea Pack,Grocery,Supplier_Atlas,Warehouse_North_02,Argentina,South America,CUST003243,2022-01-01 08:52:15,2022-01-04 08:52:15,2022-01-10 08:52:15,71,820.84,41626.59,49537.69,7867.24,43.86,Air,2720,690,6.0,93,82374.13,0.15,Delivered,0,No,3.7,Winter,1,2022
ORD100015,P1039,Coffee Beans 1kg,Grocery,Supplier_Horizon,Warehouse_West_02,Canada,North America,CUST000896,2022-01-01 09:10:59,2022-01-03 09:10:59,2022-01-11 09:10:59,45,132.45,4884.75,5662.24,768.12,9.37,Road,3792,122,8.0,58,8302.55,0.05,Delivered,0,No,4.4,Winter,1,2022
ORD100016,P1023,LED Lamp,Home & Kitchen,Supplier_Horizon,Warehouse_West_02,Japan,Asia,CUST005494,2022-01-01 09:15:21,2022-01-03 09:15:21,2022-01-25 09:15:21,93,814.35,42721.41,75734.55,32900.47,112.67,Road,2868,624,21.0,87,76692.84,0.0,Shipped,1,No,3.2,Winter,1,2022
ORD100017,P1002,Wireless Earbuds,Electronics,Supplier_Beta,Warehouse_North_01,Singapore,Asia,CUST010174,2022-01-01 10:03:16,2022-01-01 10:03:16,2022-01-22 10:03:16,1,1088.83,689.94,925.51,138.23,97.34,Road,958,257,18.0,1,1189.21,0.15,Delivered,3,No,2.4,Winter,1,2022
ORD100018,P1021,Microwave Oven,Home & Kitchen,Supplier_Vertex,Warehouse_Central_01,Germany,Europe,CUST002848,2022-01-01 10:03:52,2022-01-01 10:03:52,2022-01-08 10:03:52,167,78.81,10856.67,13161.27,2229.48,75.12,Road,4331,348,7.0,198,14473.18,0.0,Delivered,0,No,5.0,Winter,1,2022
ORD100019,P1052,Tyre Inflator,Automotive,Supplier_Meridian,Warehouse_East_01,Australia,Oceania,CUST001710,2022-01-01 10:23:52,2022-01-04 10:23:52,2022-01-10 10:23:52,107,471.96,37066.94,40399.78,3267.06,65.78,Road,4151,394,4.0,128,57668.31,0.2,Delivered,2,No,4.9,Winter,1,2022
ORD100020,P1001,Laptop Pro 14,Electronics,Supplier_Zenith,Warehouse_South_01,Canada,North America,CUST005377,2022-01-01 10:31:04,2022-01-01 10:31:04,2022-01-12 10:31:04,174,722.51,84447.42,100573.39,16063.92,62.05,Rail,1749,531,8.0,214,170037.4,0.2,Delivered,3,No,4.5,Winter,1,2022
ORD100021,P1023,LED Lamp,Home & Kitchen,Supplier_Zenith,Warehouse_South_02,France,Europe,CUST006299,2022-01-01 11:14:14,2022-01-04 11:14:14,2022-01-20 11:14:14,32,313.04,6168.32,10017.28,3801.87,47.09,Sea,4156,242,15.0,47,13263.31,0.0,Cancelled,1,No,4.9,Winter,1,2022
ORD100022,P1043,Vitamin C Serum,Health & Beauty,Supplier_Zenith,Warehouse_East_02,Brazil,South America,CUST008049,2022-01-01 11:45:32,2022-01-03 11:45:32,2022-01-26 11:45:32,59,874.32,38469.18,41267.9,2784.34,14.38,Road,2655,742,18.0,62,59386.87,0.2,Returned,5,Yes,3.3,Winter,1,2022
ORD100023,P1029,Bed Frame,Furniture,Supplier_Vertex,Warehouse_South_01,Italy,Europe,CUST001336,2022-01-01 13:19:32,2022-01-04 13:19:32,2022-01-23 13:19:32,190,253.48,29773.0,36120.9,6328.53,19.37,Road,149,458,15.0,261,66728.73,0.25,Delivered,4,No,5.0,Winter,1,2022
ORD100024,P1037,Whole Wheat Flour,Grocery,Supplier_Atlas,Warehouse_Central_02,China,Asia,CUST000330,2022-01-01 14:27:30,2022-01-02 14:27:30,2022-01-28 14:27:30,16,1258.73,14988.8,16111.74,1051.76,71.18,Road,4011,161,21.0,20,24444.0,0.2,Delivered,5,No,5.0,Winter,1,2022
ORD100025,P1001,Laptop Pro 14,Electronics,Supplier_Nova,Warehouse_South_02,France,Europe,CUST000758,2022-01-01 15:55:11,2022-01-04 15:55:11,2022-01-18 15:55:11,107,1221.64,72426.16,130715.48,58194.39,94.93,Rail,1399,367,13.0,121,147099.93,0.0,Delivered,1,No,3.7,Winter,1,2022
ORD100026,P1020,Non-stick Cookware Set,Home & Kitchen,Supplier_Meridian,Warehouse_West_02,Germany,Europe,CUST004646,2022-01-01 16:52:56,2022-01-02 16:52:56,2022-01-12 16:52:56,174,648.43,89512.56,107185.48,17631.57,41.35,Road,3531,185,10.0,219,147839.54,0.05,Delivered,0,No,3.7,Winter,1,2022
ORD100027,P1032,Basmati Rice 5kg,Grocery,Supplier_Nova,Warehouse_West_01,Australia,Oceania,CUST010719,2022-01-01 16:55:14,2022-01-03 16:55:14,2022-01-14 16:55:14,27,495.84,10431.99,10040.76,-394.25,3.02,Road,3009,742,7.0,31,15982.0,0.25,Delivered,4,No,3.1,Winter,1,2022
ORD100028,P1011,Denim Jeans,Apparel,Supplier_Horizon,Warehouse_South_01,Germany,Europe,CUST000501,2022-01-01 16:56:30,2022-01-04 16:56:30,2022-01-08 16:56:30,100,1098.05,89684.0,87844.0,-1896.94,56.94,Road,1031,650,3.0,113,133535.86,0.2,Delivered,1,No,4.1,Winter,1,2022
ORD100029,P1021,Microwave Oven,Home & Kitchen,Supplier_Orion,Warehouse_South_01,USA,North America,CUST011739,2022-01-01 17:59:46,2022-01-03 17:59:46,2022-01-10 17:59:46,71,1129.6,66350.92,72181.44,5788.1,42.42,Sea,3299,796,7.0,91,101809.96,0.1,Delivered,0,No,3.3,Winter,1,2022
ORD100030,P1043,Vitamin C Serum,Health & Beauty,Supplier_Nova,Warehouse_West_01,China,Asia,CUST011557,2022-01-01 19:30:10,2022-01-02 19:30:10,2022-01-14 19:30:10,109,774.67,70757.35,80217.08,9384.54,75.19,Road,2980,315,10.0,111,79231.03,0.05,Shipped,2,No,3.5,Winter,1,2022
ORD100031,P1024,Office Chair,Furniture,Supplier_Nova,Warehouse_South_01,Canada,North America,CUST010027,2022-01-01 19:54:11,2022-01-04 19:54:11,2022-01-17 19:54:11,198,398.35,46817.1,70985.97,24116.25,52.62,Road,3442,571,12.0,287,113378.26,0.1,Delivered,1,No,3.0,Winter,1,2022
ORD100032,P1048,Puzzle 1000pc,Toys,Supplier_Pioneer,Warehouse_South_02,UAE,Middle East,CUST008719,2022-01-01 19:57:52,2022-01-01 19:57:52,2022-01-03 19:57:52,118,481.89,34022.94,45490.42,11397.57,69.91,Sea,1730,572,2.0,157,71546.45,0.2,Delivered,0,No,5.0,Winter,1,2022
ORD100033,P1026,Bookshelf,Furniture,Supplier_Alpha,Warehouse_West_02,India,Asia,CUST010849,2022-01-01 20:27:51,2022-01-03 20:27:51,2022-01-20 20:27:51,9,1153.52,6890.22,9862.6,2948.71,23.67,Rail,3749,515,13.0,12,14744.48,0.05,Cancelled,4,No,3.0,Winter,1,2022
ORD100034,P1041,Electric Toothbrush,Health & Beauty,Supplier_Pioneer,Warehouse_South_02,France,Europe,CUST005253,2022-01-01 20:53:49,2022-01-02 20:53:49,2022-01-08 20:53:49,177,240.25,29397.93,42524.25,12878.05,248.27,Air,2183,429,6.0,229,53054.0,0.0,Delivered,0,No,4.2,Winter,1,2022
ORD100035,P1027,Sofa Set,Furniture,Supplier_Beta,Warehouse_Central_02,Australia,Oceania,CUST006555,2022-01-01 22:27:04,2022-01-03 22:27:04,2022-01-17 22:27:04,67,586.41,22083.2,37325.0,15166.76,75.04,Road,3660,732,14.0,98,60100.93,0.05,Cancelled,0,No,3.8,Winter,1,2022
ORD100036,P1015,Sports Cap,Apparel,Supplier_Pioneer,Warehouse_West_02,Singapore,Asia,CUST010351,2022-01-01 23:04:02,2022-01-04 23:04:02,2022-01-20 23:04:02,89,165.94,12085.31,14768.66,2571.99,111.36,Road,505,443,16.0,124,21051.49,0.0,Delivered,0,No,4.9,Winter,1,2022
ORD100037,P1014,Formal Shirt,Apparel,Supplier_Vertex,Warehouse_East_02,South Africa,Africa,CUST002579,2022-01-01 23:36:59,2022-01-02 23:36:59,2022-01-16 23:36:59,132,548.24,40098.96,68749.3,28614.76,35.58,Sea,997,568,14.0,143,73776.91,0.05,Delivered,0,No,4.1,Winter,1,2022
ORD100038,P1046,Building Blocks Set,Toys,Supplier_Beta,Warehouse_North_01,South Africa,Africa,CUST003259,2022-01-01 23:47:55,2022-01-04 23:47:55,2022-02-07 23:47:55,119,216.14,21077.28,25720.66,4632.01,11.37,Road,1034,533,24.0,131,29432.23,0.0,Delivered,10,No,4.0,Winter,1,2022
ORD100039,P1050,Car Vacuum Cleaner,Automotive,Supplier_Orion,Warehouse_South_01,Japan,Asia,CUST007266,2022-01-02 01:08:37,2022-01-05 01:08:37,2022-01-08 01:08:37,166,122.02,13039.3,20255.32,7127.88,88.14,Rail,1084,370,3.0,166,19083.26,0.0,Delivered,0,No,5.0,Winter,1,2022
ORD100040,P1043,Vitamin C Serum,Health & Beauty,Supplier_Vertex,Warehouse_Central_02,Argentina,South America,CUST005006,2022-01-02 01:44:50,2022-01-05 01:44:50,2022-01-16 01:44:50,84,221.72,13083.84,18624.48,5366.94,173.7,Air,4623,238,10.0,124,25542.92,0.0,Delivered,1,Yes,3.8,Winter,1,2022
ORD100041,P1051,Dash Camera,Automotive,Supplier_Alpha,Warehouse_North_02,Germany,Europe,CUST001064,2022-01-02 02:14:31,2022-01-02 02:14:31,2022-02-01 02:14:31,19,313.57,3381.24,5659.94,2261.95,16.75,Road,2196,504,23.0,25,8298.8,0.05,Delivered,7,No,3.8,Winter,1,2022
ORD100042,P1002,Wireless Earbuds,Electronics,Supplier_Pioneer,Warehouse_North_01,Australia,Oceania,CUST000258,2022-01-02 02:20:32,2022-01-05 02:20:32,2022-01-14 02:20:32,165,1351.96,140195.55,211919.73,71613.94,110.24,Road,271,305,9.0,194,280315.2,0.05,Delivered,0,No,4.2,Winter,1,2022
ORD100043,P1036,Almonds 500g,Grocery,Supplier_Nova,Warehouse_West_01,Italy,Europe,CUST004960,2022-01-02 03:59:19,2022-01-02 03:59:19,2022-01-07 03:59:19,146,1168.71,104826.54,162100.08,57231.58,41.96,Sea,4303,180,5.0,181,191958.81,0.05,Delivered,0,No,4.0,Winter,1,2022
ORD100044,P1050,Car Vacuum Cleaner,Automotive,Supplier_Summit,Warehouse_East_01,UAE,Middle East,CUST003121,2022-01-02 04:20:47,2022-01-05 04:20:47,2022-01-21 04:20:47,39,1257.0,36217.35,49023.0,12735.36,70.29,Sea,3743,523,16.0,42,57681.86,0.0,Delivered,0,No,3.9,Winter,1,2022
ORD100045,P1006,Tablet Air,Electronics,Supplier_Beta,Warehouse_South_02,South Africa,Africa,CUST008909,2022-01-02 04:40:53,2022-01-04 04:40:53,2022-01-28 04:40:53,133,291.11,22374.59,36781.75,14340.3,66.86,Sea,2161,473,23.0,187,50004.09,0.05,Delivered,1,No,3.6,Winter,1,2022
ORD100046,P1020,Non-stick Cookware Set,Home & Kitchen,Supplier_Alpha,Warehouse_West_02,Italy,Europe,CUST002482,2022-01-02 05:38:53,2022-01-04 05:38:53,2022-01-11 05:38:53,180,1251.35,182187.0,213980.85,31691.67,102.18,Road,775,247,6.0,188,212352.68,0.05,Returned,1,Yes,2.2,Winter,1,2022
ORD100047,P1008,Men's Jacket,Apparel,Supplier_Orion,Warehouse_South_01,China,Asia,CUST007155,2022-01-02 05:43:56,2022-01-04 05:43:56,2022-01-16 05:43:56,41,223.02,7170.9,9143.82,1925.73,47.19,Sea,2548,220,11.0,49,10953.01,0.0,Shipped,1,No,4.3,Winter,1,2022
ORD100048,P1038,Breakfast Cereal,Grocery,Supplier_Titan,Warehouse_South_02,South Africa,Africa,CUST003373,2022-01-02 06:14:39,2022-01-05 06:14:39,2022-01-15 06:14:39,83,1117.44,75979.03,92747.52,16708.17,60.32,Sea,212,398,10.0,110,128983.13,0.0,Delivered,0,No,3.8,Winter,1,2022
ORD100049,P1017,Coffee Maker,Home & Kitchen,Supplier_Pioneer,Warehouse_Central_01,China,Asia,CUST001247,2022-01-02 06:49:56,2022-01-02 06:49:56,2022-01-08 06:49:56,186,635.46,91363.2,88646.67,-2791.31,74.78,Road,1200,226,5.0,224,155179.54,0.25,Delivered,1,No,4.0,Winter,1,2022
ORD100050,P1003,Smartwatch S2,Electronics,Supplier_Atlas,Warehouse_West_01,India,Asia,CUST008065,2022-01-02 07:38:27,2022-01-05 07:38:27,2022-01-07 07:38:27,128,1243.04,111640.32,151153.66,39511.11,2.23,Sea,3586,160,2.0,153,172189.5,0.05,Returned,0,Yes,3.0,Winter,1,2022
ORD100051,P1024,Office Chair,Furniture,Supplier_Horizon,Warehouse_West_01,Argentina,South America,CUST003566,2022-01-02 07:39:07,2022-01-04 07:39:07,2022-01-16 07:39:07,67,943.0,36197.42,63181.0,26908.4,75.18,Air,757,514,12.0,77,72385.77,0.0,Delivered,0,No,3.3,Winter,1,2022
ORD100052,P1013,Winter Sweater,Apparel,Supplier_Beta,Warehouse_East_02,China,Asia,CUST003478,2022-01-02 07:39:13,2022-01-04 07:39:13,2022-01-17 07:39:13,178,423.53,55341.98,75388.34,19988.64,57.72,Road,1027,196,12.0,200,81059.92,0.0,Delivered,1,No,4.0,Winter,1,2022
ORD100053,P1049,Action Figure,Toys,Supplier_Beta,Warehouse_Central_01,Canada,North America,CUST003780,2022-01-02 07:41:18,2022-01-03 07:41:18,2022-01-13 07:41:18,31,1043.93,21713.95,29125.65,7346.14,65.56,Road,851,305,10.0,33,34452.71,0.1,Delivered,0,No,4.4,Winter,1,2022
ORD100054,P1008,Men's Jacket,Apparel,Supplier_Summit,Warehouse_West_02,Japan,Asia,CUST010404,2022-01-02 08:17:54,2022-01-03 08:17:54,2022-01-30 08:17:54,124,1101.55,90702.28,136592.2,45787.45,102.47,Road,4258,499,24.0,127,139097.03,0.0,Delivered,3,No,3.2,Winter,1,2022
ORD100055,P1025,Wooden Dining Table,Furniture,Supplier_Summit,Warehouse_North_02,South Africa,Africa,CUST004510,2022-01-02 08:51:54,2022-01-02 08:51:54,2022-01-08 08:51:54,169,495.08,58666.66,71118.24,12407.63,43.95,Road,4800,428,6.0,158,80581.12,0.15,Shipped,0,No,4.5,Winter,1,2022
ORD100056,P1052,Tyre Inflator,Automotive,Supplier_Summit,Warehouse_North_02,UK,Europe,CUST004461,2022-01-02 10:13:59,2022-01-02 10:13:59,2022-01-28 10:13:59,166,941.04,101025.94,156212.64,55128.1,58.6,Road,564,295,24.0,229,221650.82,0.0,Delivered,2,No,4.1,Winter,1,2022
ORD100057,P1001,Laptop Pro 14,Electronics,Supplier_Vertex,Warehouse_South_01,France,Europe,CUST011898,2022-01-02 11:27:14,2022-01-03 11:27:14,2022-01-23 11:27:14,4,1184.72,2975.08,4738.88,1695.08,68.72,Sea,1472,355,20.0,4,5046.6,0.0,Delivered,0,No,4.8,Winter,1,2022
ORD100058,P1019,Vacuum Cleaner,Home & Kitchen,Supplier_Alpha,Warehouse_North_02,India,Asia,CUST002785,2022-01-02 11:32:36,2022-01-02 11:32:36,2022-02-07 11:32:36,107,476.78,37659.72,51015.46,13307.25,48.49,Air,4886,547,22.0,124,57677.59,0.0,Processing,14,No,4.4,Winter,1,2022
ORD100059,P1027,Sofa Set,Furniture,Supplier_Vertex,Warehouse_East_02,India,Asia,CUST001856,2022-01-02 13:09:21,2022-01-04 13:09:21,2022-01-09 13:09:21,164,755.98,86642.84,99184.58,12533.97,7.77,Sea,1861,628,4.0,156,121819.66,0.2,Delivered,1,No,3.1,Winter,1,2022
ORD100060,P1046,Building Blocks Set,Toys,Supplier_Pioneer,Warehouse_West_02,Australia,Oceania,CUST008494,2022-01-02 13:26:15,2022-01-04 13:26:15,2022-01-13 13:26:15,100,506.97,42043.0,45627.3,3521.38,62.92,Rail,972,741,9.0,125,69395.65,0.1,Delivered,0,No,2.9,Winter,1,2022
ORD100061,P1006,Tablet Air,Electronics,Supplier_Atlas,Warehouse_North_01,Germany,Europe,CUST009823,2022-01-02 14:24:50,2022-01-02 14:24:50,2022-01-19 14:24:50,38,1471.93,31085.52,50340.01,19248.53,5.96,Sea,3921,493,17.0,40,63091.57,0.1,Shipped,0,No,3.4,Winter,1,2022
ORD100062,P1043,Vitamin C Serum,Health & Beauty,Supplier_Nova,Warehouse_Central_02,Brazil,South America,CUST000440,2022-01-02 15:34:11,2022-01-04 15:34:11,2022-01-25 15:34:11,148,283.61,34683.8,39875.57,5155.85,35.92,Sea,251,560,18.0,197,59728.61,0.05,Delivered,3,No,4.6,Winter,1,2022
ORD100063,P1007,Gaming Console,Electronics,Supplier_Summit,Warehouse_East_01,India,Asia,CUST001913,2022-01-02 17:04:43,2022-01-03 17:04:43,2022-01-08 17:04:43,113,851.14,57771.25,76943.06,19147.86,23.95,Road,996,688,5.0,124,107240.41,0.2,Delivered,0,No,3.6,Winter,1,2022
ORD100064,P1046,Building Blocks Set,Toys,Supplier_Meridian,Warehouse_West_01,Brazil,South America,CUST001632,2022-01-02 18:43:24,2022-01-04 18:43:24,2022-01-28 18:43:24,43,1293.5,38521.12,47277.42,8537.2,219.1,Air,1759,794,24.0,55,65467.28,0.15,Delivered,0,No,2.9,Winter,1,2022
ORD100065,P1034,Organic Honey,Grocery,Supplier_Titan,Warehouse_East_01,Argentina,South America,CUST002026,2022-01-02 19:49:23,2022-01-03 19:49:23,2022-01-19 19:49:23,73,1279.49,55050.76,88732.63,33607.08,74.79,Road,2013,507,16.0,71,91875.0,0.05,Delivered,0,No,2.5,Winter,1,2022
ORD100066,P1013,Winter Sweater,Apparel,Supplier_Nova,Warehouse_South_02,Argentina,South America,CUST005702,2022-01-02 20:47:15,2022-01-03 20:47:15,2022-01-18 20:47:15,196,77.04,11201.4,15099.84,3821.72,76.72,Rail,1854,496,14.0,250,17837.92,0.0,Delivered,1,No,3.3,Winter,1,2022
ORD100067,P1016,Air Fryer,Home & Kitchen,Supplier_Pioneer,Warehouse_South_02,France,Europe,CUST011406,2022-01-02 20:54:13,2022-01-02 20:54:13,2022-01-12 20:54:13,11,1118.36,10024.74,10456.67,422.33,9.6,Air,2280,316,10.0,14,17010.13,0.15,Delivered,0,No,4.5,Winter,1,2022
ORD100068,P1035,Green Tea Pack,Grocery,Supplier_Summit,Warehouse_North_02,USA,North America,CUST004110,2022-01-02 21:30:24,2022-01-03 21:30:24,2022-01-16 21:30:24,58,840.6,41075.02,43879.32,2759.92,44.38,Road,71,745,11.0,85,69597.51,0.1,Processing,2,No,3.6,Winter,1,2022
ORD100069,P1049,Action Figure,Toys,Supplier_Titan,Warehouse_Central_01,UAE,Middle East,CUST011286,2022-01-02 22:05:27,2022-01-04 22:05:27,2022-01-11 22:05:27,87,655.51,45951.66,57029.37,11009.21,68.5,Road,2705,269,3.0,107,64015.52,0.0,Delivered,4,No,3.7,Winter,1,2022
ORD100070,P1039,Coffee Beans 1kg,Grocery,Supplier_Nova,Warehouse_East_01,India,Asia,CUST008325,2022-01-02 22:43:03,2022-01-05 22:43:03,2022-01-12 22:43:03,198,744.14,99102.96,125238.76,26051.31,84.49,Road,4737,122,7.0,277,221002.79,0.15,Delivered,0,No,4.1,Winter,1,2022
ORD100071,P1003,Smartwatch S2,Electronics,Supplier_Horizon,Warehouse_North_02,UAE,Middle East,CUST001107,2022-01-02 22:47:38,2022-01-03 22:47:38,2022-01-27 22:47:38,119,440.83,32022.9,52458.77,20310.42,125.45,Air,4930,161,24.0,126,60071.3,0.0,Delivered,0,No,3.3,Winter,1,2022
ORD100072,P1001,Laptop Pro 14,Electronics,Supplier_Alpha,Warehouse_East_01,India,Asia,CUST004471,2022-01-02 22:52:52,2022-01-03 22:52:52,2022-01-26 22:52:52,137,1277.08,142985.53,148715.97,5666.2,64.24,Sea,3948,451,21.0,147,181741.0,0.15,Delivered,2,No,4.0,Winter,1,2022
ORD100073,P1005,Bluetooth Speaker,Electronics,Supplier_Horizon,Warehouse_South_02,UAE,Middle East,CUST000709,2022-01-02 23:31:39,2022-01-05 23:31:39,2022-01-11 23:31:39,1,1265.3,794.53,1265.3,444.36,26.41,Road,3234,501,6.0,1,1254.37,0.0,Delivered,0,No,4.0,Winter,1,2022
ORD100074,P1053,Car Cover,Automotive,Supplier_Pioneer,Warehouse_West_02,South Africa,Africa,CUST010690,2022-01-03 00:03:13,2022-01-05 00:03:13,2022-01-23 00:03:13,41,309.79,9616.14,10796.18,1157.25,22.79,Road,523,559,18.0,40,13119.39,0.15,Delivered,0,No,4.5,Winter,1,2022
ORD100075,P1041,Electric Toothbrush,Health & Beauty,Supplier_Orion,Warehouse_East_01,Australia,Oceania,CUST001166,2022-01-03 00:33:41,2022-01-06 00:33:41,2022-01-11 00:33:41,112,726.7,45805.76,81390.4,35527.14,57.5,Road,3647,342,5.0,154,120831.73,0.0,Shipped,0,No,3.6,Winter,1,2022
ORD100076,P1003,Smartwatch S2,Electronics,Supplier_Alpha,Warehouse_West_01,Canada,North America,CUST007299,2022-01-03 02:12:58,2022-01-04 02:12:58,2022-01-16 02:12:58,11,1089.43,7202.14,11983.73,4696.07,85.52,Road,4652,350,9.0,11,11519.65,0.0,Delivered,3,No,3.3,Winter,1,2022
ORD100077,P1053,Car Cover,Automotive,Supplier_Vertex,Warehouse_North_02,USA,North America,CUST008357,2022-01-03 02:26:47,2022-01-06 02:26:47,2022-01-31 02:26:47,102,705.62,60748.14,61177.25,408.65,20.46,Road,4659,176,23.0,142,99280.4,0.15,Delivered,2,No,4.1,Winter,1,2022
ORD100078,P1028,Study Desk,Furniture,Supplier_Titan,Warehouse_Central_02,China,Asia,CUST000627,2022-01-03 02:27:42,2022-01-04 02:27:42,2022-02-01 02:27:42,49,210.43,7991.9,8248.86,237.79,19.17,Sea,1015,392,24.0,56,12280.78,0.2,Processing,4,No,3.9,Winter,1,2022
ORD100079,P1017,Coffee Maker,Home & Kitchen,Supplier_Zenith,Warehouse_East_02,Argentina,South America,CUST005520,2022-01-03 03:01:48,2022-01-05 03:01:48,2022-01-07 03:01:48,59,1056.81,51670.43,49881.43,-1837.02,48.02,Sea,4470,471,2.0,73,83729.96,0.2,Delivered,0,No,4.8,Winter,1,2022
ORD100080,P1025,Wooden Dining Table,Furniture,Supplier_Summit,Warehouse_North_01,Singapore,Asia,CUST009037,2022-01-03 03:11:44,2022-01-03 03:11:44,2022-01-27 03:11:44,134,875.34,93566.84,105566.0,11805.38,193.78,Air,2683,176,24.0,181,154662.87,0.1,Delivered,0,No,4.2,Winter,1,2022
